gene_id	gene_name	GM12878_REP1	GM12878_REP2	H1_REP1	H1_REP2	K562_REP1	K562_REP2	MCF7_REP1	MCF7_REP2
ENSG00000005483	KMT2E	3339.999	3638.001	2692.581	2516.169	3759.001	5191.484	8370.083	7022.721
ENSG00000005486	RHBDD2	1427	1523.999	6468.784	7342.098	1396	1682	4390.169	4406.209
ENSG00000005513	SOX8	0	0	492	825	15	24	27	29
ENSG00000005700	IBTK	4000	3377.999	1780.445	921.835	3455.001	4815.001	8795.144	7443.301
ENSG00000005801	ZNF195	2366	1979.002	3399.971	2146.326	4882.999	6627.001	4918.548	3477.037
ENSG00000005810	MYCBP2	14056	13199.005	4461.233	3005.011	3183	4514	9922.126	9434.137
ENSG00000005812	FBXL3	2400.001	1764	805.001	474	1235	1382	4629.001	4442.254
ENSG00000005844	ITGAL	13934.592	15098.001	2	6.003	2.005	1	26.005	22.057
ENSG00000005882	PDK2	929.001	901	5000.49	5779.779	72	90	1843.091	1953
ENSG00000005884	ITGA3	1243	1560.079	4323.449	5468.202	13	6.058	4721.077	6461.225
ENSG00000005889	ZFX	3463.002	3039.001	1250.061	751.873	1520	1992.001	8290.713	7120.697
ENSG00000005893	LAMP2	3938.291	2977.97	3492.815	1943.002	5000.001	6558	17060.616	17984.83
ENSG00000005955	GGNBP2	4631.999	4437.999	2302.015	1745.703	6254.999	8633	6922.135	6908.789
ENSG00000005961	ITGA2B	24	19	1340.025	1802.219	1694.001	2281.999	267.063	404.054
ENSG00000005981	ASB4	5	4	1	0	0	0	1	3
ENSG00000006007	GDE1	2657.979	2886.993	5501.058	4544.539	2955.953	3177.901	12179	11194.877
ENSG00000006015	C19orf60	2576	3190.002	3167.61	5220.298	3677	5017.001	984.397	1638.076
ENSG00000006016	CRLF1	4	2	680	1139.74	128.024	124	185.006	415.006
ENSG00000006025	OSBPL7	2133.001	2187.999	1702.81	2058.097	1488	2028	2686.999	3121.239
ENSG00000006042	TMEM98	9	4	13330.643	12025.997	5022.998	5492.001	46.208	64.002
ENSG00000006047	YBX2	0	0	2304.355	3067.665	28	7	1051.03	1966.001
ENSG00000006059	KRT33A	0	0	0	0	0	0	0	0
ENSG00000006062	MAP3K14	4543	4671	1295.999	1416.859	842.988	1153.843	1245.212	1274.132
ENSG00000006071	ABCC8	0	0	548.999	637.006	0	0	420.001	463.954
ENSG00000006074	CCL18	0	0	0	0	0	0	0	0
ENSG00000006075	CCL3	5585.987	5924.923	3	0	3	0	0	1
ENSG00000006114	SYNRG	5781	5571.999	3227.997	2180.2	2630.999	3423.001	3210.148	2490.671
ENSG00000006116	CACNG3	0	0	24	10	0	0	0	0
ENSG00000006118	TMEM132A	1029	1139	9170.835	11139.556	36	46	5213.761	8029.018
ENSG00000006125	AP2B1	12421.999	10954.001	33544.135	19362.332	23478.001	27886.532	18132.438	18531.882
ENSG00000006128	TAC1	0	0	104	120.026	3	7	0	0
ENSG00000006194	ZNF263	2191	2273.205	1056.237	1543.036	2303.002	3183.951	3069.844	2755.292
ENSG00000006210	CX3CL1	107	147	654.112	561.001	0	0	4	0
ENSG00000006282	SPATA20	5595.001	5227.999	2543.789	2728.536	254	369	3298.495	3875.465
ENSG00000006283	CACNA1G	2	2	1083.29	1932.984	0	0	19	16.002
ENSG00000006327	TNFRSF12A	49	32	6127.461	7118.22	2024.001	2823.999	2256.001	3959.318
ENSG00000006377	DLX6	0	0	0	0	0	0	0	0
ENSG00000006432	MAP3K9	1361	1514	7037.2	5616.189	90.001	68	8092.798	7093.606
ENSG00000006451	RALA	2872.999	2380	4660.654	2144.786	2660	3468.001	4473.523	4469.216
ENSG00000006453	BAIAP2L1	6781	7067.495	5020.283	5638.714	2568	3181	4322.002	3922.193
ENSG00000006459	KDM7A	192	179	1374.509	778.023	1715	2464	4249.282	2999.345
ENSG00000006468	ETV1	0	0	5039.887	3552.19	1366	1947.999	3	3
ENSG00000006530	AGK	5148.915	4485.999	3573.728	2242.495	7117.999	8042.001	4019.364	4491.918
ENSG00000006534	ALDH3B1	13	19	82.837	65.458	50	19	374.043	587.464
ENSG00000006555	TTC22	577	560	173.079	250.001	24	1	56	76.83
ENSG00000006576	PHTF2	4814.466	3816.001	1977.005	931.108	3671.999	5047.001	7580.392	7956.305
ENSG00000006606	CCL26	0	0	268	186.028	155	126	9	10
ENSG00000006607	FARP2	6195	6012	3637.604	2887.597	3267	4199.999	7628.395	7866.71
ENSG00000006611	USH1C	0	0	156.003	206	0	4	3	1
ENSG00000006625	GGCT	4352	4165	2994.712	2317.167	7016	8553.891	7239.421	7452.373
ENSG00000006634	DBF4	3045.102	2873.972	1169.828	810.179	4390.884	6151.449	5485.708	4551.182
ENSG00000006638	TBXA2R	0	12.125	88.454	102.44	654	900	10.414	20.487
ENSG00000006652	IFRD1	1763.001	1741.999	3321.427	2195.069	7421.004	8359.001	10809.99	10425.261
ENSG00000006659	LGALS14	150.001	204	25	7	0	0	5	0
ENSG00000006695	COX10	1936	1848	2983.078	2961.378	1747	1698.045	1346	1521.001
ENSG00000006704	GTF2IRD1	282	367.001	4989.396	5884.742	2072	2844.028	3123.373	3410.693
ENSG00000006712	PAF1	3568.999	3512.654	3544.235	3672.096	2825.001	4630.001	9639.138	12436.678
ENSG00000006715	VPS41	5070	4691	3572.405	2013.619	3276.999	3900.999	9087.738	7602.597
ENSG00000006740	ARHGAP44	144	139.004	1948.004	2368.132	2	4	1331.022	1734.02
ENSG00000006744	ELAC2	9889.841	11436.005	13280.321	13496.003	8517.001	10787.128	7547.382	9664.414
ENSG00000006747	SCIN	123.193	77.146	79	65	1089.683	1377.222	151.072	511.106
ENSG00000006756	ARSD	61	58	504.219	681	9	2	6170.015	5267.757
ENSG00000006757	PNPLA4	1511.962	1518	1400.69	1236.153	1534.999	1588.999	464.448	513.911
ENSG00000006788	MYH13	9	1	0	0	0	1	0	0
ENSG00000006831	ADIPOR2	7688.999	6378.006	4511.189	3117.405	6591	7791.918	13451.782	15883.434
ENSG00000006837	CDKL3	66.018	84.177	71.079	54.091	84.448	124.113	235.6	184.068
ENSG00000007001	UPP2	0	0	0	0	0	0	1	0
ENSG00000007038	PRSS21	1969.999	2000	42	78.999	4416	5450	0	0
ENSG00000007047	MARK4	1242.999	1307.999	2195.428	3063.909	970	1457	960.001	1106.337
ENSG00000007062	PROM1	3	0	8743.681	4833.56	0	6	14	17.999
ENSG00000007080	CCDC124	4925.036	5601	4742.326	5678.267	6990	9486.024	1123.004	2277.024
ENSG00000007129	CEACAM21	348	341	2	4	1	7	0	4
ENSG00000007168	PAFAH1B1	7899.002	7806.195	9314.684	5082.567	4361.002	5425.416	15844.212	16447.64
ENSG00000007171	NOS2	2	4	293.921	377	0	0	12	17
ENSG00000007174	DNAH9	9	0	61	63	0	1	3.006	2
ENSG00000007202	KIAA0100	19451.364	19054.985	23311.901	21924.168	20983.999	23774.999	24874.44	31809.359
ENSG00000007216	SLC13A2	5	7	0	0	0	0	13	3
ENSG00000007237	GAS7	7828	7713	2517.058	2444	3	0	17.08	36.435
ENSG00000007255	TRAPPC6A	1770	1948.999	4191.988	4230.632	659	694.999	998	1289.999
ENSG00000007264	MATK	163	153	1875.231	2639.066	3498.001	3994	230.154	433
ENSG00000007306	CEACAM7	0	0	0	0	0	0	80	17
ENSG00000007312	CD79B	4510	4781	211	211	0	17	0	2
ENSG00000007314	SCN4A	41	23	2384.182	3354.999	149.999	147	3	1
ENSG00000007341	ST7L	484	527.001	839.925	610.008	1592.003	1397	821.361	984.988
ENSG00000007350	TKTL1	0	1	7	5	67	51	3	0
ENSG00000007372	PAX6	8	23	34	35	588	745.002	0	1
ENSG00000007376	RPUSD1	4127	5525.001	6786.642	7303.789	4742	5003.998	1137	1854.037
ENSG00000007384	RHBDF1	27	13	6165.392	7466.782	655	881	6166.006	8402.006
ENSG00000007392	LUC7L	4080	4037.092	4877.461	4559.636	6342.855	7107.555	11660.952	10112.298
ENSG00000007402	CACNA2D2	0	0	7212.084	6597.988	32	84	249	250
ENSG00000007516	BAIAP3	51	61	790.999	1481.502	191	552.001	608	824.333
ENSG00000007520	TSR3	3615	4336	3325.246	4212.632	3484	3119	902.973	1539.696
ENSG00000007541	PIGQ	2718.999	2905.195	7769.799	9881.373	3736.999	5074	1567.37	2341.326
ENSG00000007545	CRAMP1L	1856.241	1857.272	5864.45	7048.98	3806.116	4334.642	6284.646	6918.602
ENSG00000007866	TEAD3	2	4	3999.154	5248.242	886	1400	1940.998	1765.505
ENSG00000007908	SELE	2	0	0	0	0	0	15	0
ENSG00000007923	DNAJC11	5789.002	6494.999	9610.595	11775.374	9996	11956.062	5773.811	6388.148
ENSG00000007933	FMO3	0	0	1	1	0	1	3	2
ENSG00000007944	MYLIP	1634	1369	3330.259	2856.933	3616	4133	5120	4644.52
ENSG00000007952	NOX1	0	0	0	0	0	0	1	3
ENSG00000007968	E2F2	2540	2951	617.158	714	2234	2911.545	1056.734	1655.311
ENSG00000008018	PSMB1	18719	14776	27572.204	17122.512	38920	47254.702	22065.766	26507.697
ENSG00000008056	SYN1	2	8	300	566.885	0	20	5	10
ENSG00000008083	JARID2	3745.779	3789	24458.065	26037.349	3461.999	5398	11133.014	10725.116
ENSG00000008086	CDKL5	806	653	1052	821	0	18	606	559.001
ENSG00000008118	CAMK1G	19	0	169	162.005	0	0	5	1
ENSG00000008128	CDK11A	1836.834	2067.343	648.992	1392.114	3185.787	6190.835	3001.603	3112.645
ENSG00000008130	NADK	8060.999	9168	13913.574	15503.025	14625.014	16212.001	5791.994	7356.306
ENSG00000008196	TFAP2B	11	21	0	14	0	0	4	2
ENSG00000008197	TFAP2D	0	0	0	0	0	0	0	0
ENSG00000008226	DLEC1	17	8	122.016	127	0	0	24	10
ENSG00000008256	CYTH3	5033	4828.001	2032	2265.527	2655	3084.001	2464.101	2388.052
ENSG00000008277	ADAM22	2513.999	2029.001	2208.363	1645	8	40	2068.008	1853.038
ENSG00000008282	SYPL1	4854	4073.142	5406.521	2300.17	4522	5668.999	23744.133	19386.834
ENSG00000008283	CYB561	540.001	427.001	2723.777	2895.313	3523.002	3901.001	16347.38	20233.852
ENSG00000008294	SPAG9	4490	3674	3271.98	2124.723	7789.987	10444.001	13077.92	12968.337
ENSG00000008300	CELSR3	443	424	7220.441	9663.644	501	578.999	4052.083	4862.071
ENSG00000008311	AASS	34	61	40922.251	35315.829	0	2	2870.02	1156
ENSG00000008323	PLEKHG6	173	154	2899.018	3695.963	15	74	611.431	920.69
ENSG00000008324	SS18L2	2831	2518	2932.802	1493.291	2805	3397	2418.001	2078.749
ENSG00000008382	MPND	788	830	2271.228	2669.702	412	477	812.34	1162.498
ENSG00000008394	MGST1	3067	2325.998	20484.004	9986.239	2227	2893.999	6079.05	6401.978
ENSG00000008405	CRY1	688	591	1883.066	1635.815	2897.999	3815.891	4406	4622.574
ENSG00000008438	PGLYRP1	0	0	1	0	0	5	0	0
ENSG00000008441	NFIX	37	75	7	15	1300	1630	265	159
ENSG00000008513	ST3GAL1	3602.002	3745.001	592.999	564.999	960	1274.999	8274.296	8454.103
ENSG00000008516	MMP25	59	39	1766.011	2919.951	0	0	16	15
ENSG00000008517	IL32	2812	2502.999	158	142.001	8	43	28.001	39.001
ENSG00000008710	PKD1	7676.428	9534.839	8738.374	11486.143	8541.139	11271.319	3443.822	5130.624
ENSG00000008735	MAPK8IP2	18	24	418.001	366	25	21	113.122	231.001
ENSG00000008838	MED24	6465	7806	14266.142	16377.926	6850.001	8116.998	3138.916	4321.948
ENSG00000008853	RHOBTB2	3196	3509.999	2046.001	2210.297	211	258	2110.999	1861.998
ENSG00000008869	HEATR5B	5277	4827	3247.712	2187.177	2791	3519	8072.772	7697.733
ENSG00000008952	SEC62	5985.002	5181.365	3217.479	1397.34	4879	5880	9244.182	8182.768
ENSG00000008988	RPS20	84136.209	72125.998	53736.44	41523.496	70105.999	88519.505	58492.166	59817.515
ENSG00000009307	CSDE1	28048.962	24134	34917.352	19058.157	37374.373	44803.485	315964.619	292014.113
ENSG00000009335	UBE3C	9481.991	8964.949	10771.983	7987.068	11518	14291.833	16861.705	18552.313
ENSG00000009413	REV3L	4619.89	4013.001	918.001	510.407	2823	3502.001	14510.038	13016.002
ENSG00000009694	TENM1	0	2	435.979	415.453	2666	3559	128.519	95
ENSG00000009709	PAX7	0	0	4	10	0	1	2	0
ENSG00000009724	MASP2	0	0	78.01	97.007	9	9	7.001	7
ENSG00000009765	IYD	1	0	0	2	8	0	30.029	13.002
ENSG00000009780	FAM76A	743	552.001	613.368	421.071	915.11	1261.001	859.142	831.832
ENSG00000009790	TRAF3IP3	6754.919	5489.999	0	0	23	9	1	1
ENSG00000009830	POMT2	842	1015.001	5333.318	5815.504	1171	1559	13776.447	9804.322
ENSG00000009844	VTA1	4318	3417.001	5771.9	2498.52	4958.001	6526	8059	7995.8
ENSG00000009950	MLXIPL	16.082	20.425	1373.014	2067.001	715.499	1289.083	286.837	266.335
ENSG00000009954	BAZ1B	10960.101	11068.009	8354.967	5073.883	14377.886	21269.299	18716.526	18149.127
ENSG00000010017	RANBP9	2780	2335	2771.624	1395.009	6794	8797.509	6613.395	5536.771
ENSG00000010030	ETV7	162	157	263.04	263	0	0	14	12
ENSG00000010072	SPRTN	1096	818	926.001	681	1966	2445.001	1897.443	1654.88
ENSG00000010165	METTL13	3873	3759	6639.273	6560.413	5741	6711	7045.651	7533
ENSG00000010219	DYRK4	1432.242	1526.247	506.944	354.001	779	696.013	409.314	476.783
ENSG00000010244	ZNF207	24167	21858.519	38685.013	24787.503	25988.575	35045.768	19065.434	18106.298
ENSG00000010256	UQCRC1	13325.934	13493.052	43270.381	41693.98	13725	17332.018	7668.853	10005.726
ENSG00000010270	STARD3NL	5959	5154	2670.512	1354.686	3117.001	4253	2316.054	2289.238
ENSG00000010278	CD9	763	619	19091.227	9769.939	40	27	28758.152	35834.028
ENSG00000010282	HHATL	0	0	21	18	0	0	8	0
ENSG00000010292	NCAPD2	22988.998	23233.997	18572.256	19897.951	9948	15370.642	21286.922	25198.507
ENSG00000010295	IFFO1	2501	2672	2151.999	2446.701	2	5	16	29
ENSG00000010310	GIPR	2312.001	2335	75.093	139	2167.001	3234.001	160.091	142.505
ENSG00000010318	PHF7	712	489	673.186	693.033	1574	1944.001	348.021	350.01
ENSG00000010319	SEMA3G	24	1	213	284.054	1	2	20	18
ENSG00000010322	NISCH	7425	8250.999	22869.893	28285.021	5150	7492	7931.153	9196.219
ENSG00000010327	STAB1	0	0	178	236	238	344.001	11	28
ENSG00000010361	FUZ	607.999	569	2630.001	3346.944	481.001	348	530	649.001
ENSG00000010379	SLC6A13	19.001	10	5	9	3	5	7	0
ENSG00000010404	IDS	9168.931	8770.377	8571.604	5112.823	1807.679	1685.937	26981.652	23403.41
ENSG00000010438	PRSS3	0	0	5	0	1	9	0	0
ENSG00000010539	ZNF200	943.11	625	524.998	413.033	901.999	1140.056	1316.11	1229.511
ENSG00000010610	CD4	152	134	1143.004	1104.865	10	0	1	0
ENSG00000010626	LRRC23	199.835	164.767	224.123	211.082	266.076	165.353	366.893	441.921
ENSG00000010671	BTK	10166.001	9727	11	3	6179.001	7411.999	3	6
ENSG00000010704	HFE	279.08	296.033	270.48	153	127.012	60	127.371	143.96
ENSG00000010803	SCMH1	3855.999	3839	3624.711	2712.488	3626.999	3816.999	2023.998	2653.016
ENSG00000010810	FYN	13383.998	11621.001	3969.294	3854.148	820.001	1381.001	1061	664.999
ENSG00000010818	HIVEP2	4224	4177	1454.022	995.999	184	75	2108	1624.4
ENSG00000010932	FMO1	0	0	14	4	0	0	0	1
ENSG00000011007	TCEB3	5622.999	5264	5327.465	3554.458	6789	7816	6418.246	7338.63
ENSG00000011009	LYPLA2	8394.955	9623.998	22712.838	20878.084	9034	10939.101	2089.021	2351.973
ENSG00000011021	CLCN6	4222.575	3931.863	5836.721	6487.992	3860.001	4507.636	3081.476	3278.83
ENSG00000011028	MRC2	74	123	2339.001	3834.541	1155	1428	1671	2425.129
ENSG00000011052	NME2	495.42	443.641	881.555	872.824	425.779	696.025	1009.742	882.67
ENSG00000011083	SLC6A7	2	12	30	3	0	0	0	0
ENSG00000011105	TSPAN9	6	19	3080.215	4359.304	114	143	1019.001	998.206
ENSG00000011114	BTBD7	2776.001	2633	4267.522	2852.101	1605.096	1730.999	12129.357	10976.571
ENSG00000011132	APBA3	2259	2700.999	4011.361	4580.546	1688.999	1916.001	224.702	317.539
ENSG00000011143	MKS1	1136.001	1108.001	1349.383	1222.014	1754	2136.002	2659.335	2639.003
ENSG00000011198	ABHD5	524.999	501	1033.001	398.001	2201	2910.998	2413	2708.081
ENSG00000011201	KAL1	9	3	11246.674	5667.168	0	0	901	830.03
ENSG00000011243	AKAP8L	4614.101	5422.975	6422.202	9742.248	7102.002	10184	4511.083	4988.802
ENSG00000011258	MBTD1	2140	1836	6919.62	3358.382	3043	3821	10403.612	6538.815
ENSG00000011260	UTP18	3546	3283	2102.547	1121.04	4879.999	6251	7538.537	7525.112
ENSG00000011275	RNF216	6880.524	6556.476	4155.142	3920.929	5784.359	8046.743	6904.442	8905.681
ENSG00000011295	TTC19	1482.02	1290.453	2093.319	1482.94	1564	2659.775	3646.437	2765
ENSG00000011304	PTBP1	29536.075	36778.338	53973.358	63166.735	33127.595	45860.688	15573.115	21651.117
ENSG00000011332	DPF1	408	490.001	979.998	1321	317	565	175.037	298.102
ENSG00000011347	SYT7	0	0	2857.024	3701.187	51	11	2331.075	3014.997
ENSG00000011376	LARS2	4707.001	4542	7116.511	6109.431	5476	4932.013	2088.896	2583.114
ENSG00000011405	PIK3C2A	2175.001	1766.999	10989.992	5681.346	2591.001	3225.001	11397.533	9277.683
ENSG00000011422	PLAUR	614.999	665.001	1859.964	1965.009	590	864	348.002	366.007
ENSG00000011426	ANLN	2936	2548	2166	1370.19	4681	5606	14416.318	13283.654
ENSG00000011451	WIZ	3713.603	4730.998	3694.001	5550.181	3473	4956	2155.05	2929.065
ENSG00000011454	RABGAP1	3281.001	2837.32	5005.033	3370.318	1662.001	2737.999	30134.426	28739.902
ENSG00000011465	DCN	1	0	1	0	23	22	12	4
ENSG00000011478	QPCTL	1928	2088	5411.565	6252.005	1881	2862	838.934	1152.342
ENSG00000011485	PPP5C	9711.138	11826.989	16115.08	18219.275	10775.002	12342.998	7192.228	10684.669
ENSG00000011523	CEP68	1770	1852.998	6114.571	6984.343	1787	1704.971	2651.578	2066.242
ENSG00000011566	MAP4K3	15	21	2991.21	1395.254	1510	2074.061	9696.768	8563.313
ENSG00000011590	ZBTB32	3187.017	3122	18	22	4	0	0	2
ENSG00000011600	TYROBP	37	19	4	4	119	77	0	0
ENSG00000011638	TMEM159	408.73	455.999	2389.69	1803.062	507	566	2146.058	2099.059
